id,name,Description,groupIconUrl,individualIconUrl,photoUrl,range,penetration,altitude
13,AT-8,The 9K112 Kobra (NATO reporting name: AT-8 Songster) is a SACLOS anti-tank missile system of the Soviet Union. It is fired from the 125 mm main guns of the T-64 and T-80 series of tanks. A newer design based on the same concept is the 9M119 (NATO reporting name AT-11 Sniper).,group/enat,individual/enhvyatgm,photo/at8,4000,700,0
14,AT-10,"The 9M117 Bastion is a Russian laser beam-riding anti-tank missile. It is used in a number of separate weapon systems, including the 9K116-1 Bastion missile system (AT-10 Stabber), 9K118 Sheksna (AT-12 Swinger), Kastet and the 3UBK12 fired from the BMP-3. The 100 mm projectile entered service in 1981.",group/enat,individual/enhvyatgm,photo/at10,4000,800,0
15,AT-11,"The 9M119 Svir and 9M119M Refleks are laser beam riding, guided anti-tank missiles developed in the former Soviet Union. The two missiles are similar, but vary in range and launch platform. Both are designed to be fired from smooth bore 125 mm tank and anti-tank guns (2A45, 2A46 and 2A46M). Their NATO reporting name is AT-11 Sniper. The name Svir comes from the River Svir, while Refleks means reflex. The 9M119 replaces, or supplants, the 9K112 Kobra.",group/enat,individual/enhvyatgm,photo/at11,5000,850,0
16,DShKM,The dshk 38/46 is a widely proliferated heavy machinegun generally used as an anti-aircraft or anti-vehicle weapon. Many countries use the dshk 38/46 on vehicular mounts while others use it mostly on its ground mount. Many asian counties use a 2-wheel mount in the ground role. The m1938 tripod is used for ground fire but can be readily converted for aa fire. M38 and m46 ammo belts are not interchangeable. A large flat armored shield is occasionally used to protect the crew when the gun is used in its ground role. In many countries this weapon was replaced by the 12.7-mm nsv in the ground role or by the heavier 14.5-mm zpu series in the antiaircraft role.,group/eninf,individual/enhvymg,photo/dshkm,2000,13,0
17,GM-94,"Some sources state that the GM-94 is the same weapon as Infantry Flamethrower LPO- 97; but KBP, the manufacturer, lists them separately.",group/eninf,individual/enagl,photo/gm94,600,15,0
18,GP-30,"The gp-30 obuvka is a widely proliferated, muzzle-loaded, single-shot, detachable, under-barrel grenade launcher. The bg-15, gp-25 and the gp-30 are all basically the same weapon. Variants can be mounted on all models of kalashnikov assault rifles. The rifleman can fire the launcher only when the complete weapon is attached to the assault rifle.",group/eninf,individual/enagl,photo/gp30,400,10,0
19,M-160; 160mm,The Soviet Army deployed the 160-mm mortar in brigades of 32 mortars each. The brigades were composed of four battalions of eight mortars each. Such brigades were part of the artillery divisions formed from 1944 onward.,group/enmortar,individual/enhvymortar,photo/m160,8040,55,0
20,M79,The m79 can be operated on a pintle mount..,group/enat,individual/enrecoilless,photo/m79,670,350,0
21,Mosin-Nagant,"The 3-line rifle M1891, colloquially known as Mosin–Nagant is a five-shot, bolt-action, internal magazine–fed, military rifle developed from 1882 to 1891, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. It is one of the most mass-produced military bolt-action rifles in history with over 37 million units having been made since its inception in 1891, and, in spite of its age, it has been used in various conflicts around the world even up to the modern day.",group/eninfsniper,individual/ensniper,photo/mosinnagant,1000,10,0
22,MT-12,The serb iskra at fcs-1 computerized laser rangefinder fcs is offered for sale. Range for fcs-1 is 0-3000m. Russian 2nd gen ii sights are also available. The day sight can be used at night if the target is illuminated. Thermal sights are also available up to 3500m.,group/enattowed,individual/encannontowed,photo/mt12,2500,418,0
23,Panzerfaust-3,"The panzerfaust 3 series of launchers is a compact, lightweight, shoulder-fired, unguided antitank weapon series. It consists of a disposable canister with a 110-mm warhead and reusable firing and sighting device. The panzerfaust 3 is light enough to be carried and fired by one person. It can fire from enclosures. The gunner carries at least two rounds while the assistant grenadier carries an additional three rounds.",group/enat,individual/eninfmedat,photo/panzerfaust3,300,700,0
24,PF-98,"The pf-98 appears to have employed propulsion principles from the swedish bofors carl gustaf 84-mm m2/m3 recoilless gun. The carl gustaf has a compact round with an expulsion charge to launch its grenade, a method which offers greater precision than more common rocket-propelled systems. But like the more recent and larger gustaf rounds, the pf-98 added rocket assist to extend projectile ranges. Thus the producer refers to pf- 98 as an ""anti-tank rocket launcher"". By using sealed canisters to serve as launcher extensions, queen bee offers a trend-setting and effective way to increase lethality by growing ammunition to 120-mm, while retaining portability and extending range capability. Bn designation is for launcher mounted on tripod.",group/enat,individual/eninfat,photo/pf98,800,800,0
25,PKM,"The 7.62-mm general-purpose machinegun (pkm) is a gas-operated, belt-fed, sustained-fire weapon. The basic pkm is bipod-mounted but can also fit in vehicle firing ports. It is constructed partly of stamped metal and partly of forged steel. The newer variant pkp (pecheneg) features improved cooling system, and a heavy, fixed barrel that does not require changing nor can it be changed by the crew. It is designed to fill the role of a true, squad level gpmg for support in russian infantry and spetsnaz units.",group/eninf,individual/enmedmg,photo/pkm,1000,8,0
26,RA-8; Red Arrow,"The original launcher is too heavy to be considered portable. Variants: red arrow 8l is a compact lightweight (22.5 kg) launcher for man-portable use. Tracker system uses an encoded beacon to defeat ir jamming. A pti-32 thermal night sight can be used. Vehicle single tube launchers are on jeeps, a minibus, and on chinese apcs such as wz-551 / type 90. A 4-tube launcher turret is used on many atgm launcher vehicles, including yw531, wz-551, type 89/ yw 534. Helicopter mounts are wz- 9 and z-9g gunships and the french antelope. Baktar shikan: pakistani variant, aka green arrow. Missile data is similar to red arrow-8a. One vehicle mount is on a land rover. There may be 8b and 8c versions of the atgm; however, the above are more likely for encounter. The red arrow-8f has an he-thermobaric warhead option. It is a multi-purpose warhead for bunkers, lavs, dismounts etc.",group/enat,individual/enhvyatgm,photo/ra8,4000,1100,0
27,RPD,"The rpd can be used as an assault rifle. The use of the drums for ammo can make carrying the ammunition earlier than carrying large ammunition boxes. It was replaced by the rpk (which was in-turn replaced by the rpk-74) by several armies. This reliable light machinegun is still found in large numbers throughout the world. It is the mainstay of many militias. These weapons are numerous, easy to acquire, reliable, lethal, and cheap.",group/eninf,individual/enltmg,photo/rpd,800,5,0
28,RPG-22,"The rpg-22 is a lightweight, shoulder-fired, preloaded, disposable anti-armor weapon intended for firing one round, after which the tube is discarded. It is basically a scaled-up version of the rpg-18 (similar to the us law) and has no dedicated grenadier; however, all soldiers train to use the squad-level disposable weapon.",group/enat,individual/eninfat,photo/rpg22,250,390,0
29,RPG-28,"This weapon is currently the largest rpg (125mm tandem warhead rocket) fired from a disposable, nonextending launcher known to be in current service. Operated by a single soldier, the rpg-28 is capable of inflicting a mobility kill or a catastrophic kill on any main battle tank (mbt) known to be in service with any nation.",group/enat,individual/eninfat,photo/rpg28,300,1000,0
30,RPG-27,This is a disposable launcher version of the rpg-29. The rpg-27 has a 105-mm tandem warhead similar to that of the pg-7vr (rpg-7v) and that of the pg-29v (rpg-29).,group/enat,individual/eninfat,photo/rpg27,200,950,0
31,RPG-29,"Rpg-29 is a multi-purpose fire support system with both at, he and thermobaric grenades. Thus it serves as allpurpose small unit artillery against the gamut of targets, including vehicles, personnel, buildings, and any other direct-fire targets within range - including helicopters.",group/enat,individual/eninfmedat,photo/rpg29,500,750,0
32,RPG-30,"The rpg-30, is specifically designed to defeat active protective systems mounted on mbts and ifvs. The decoy rocket is fired mere micro seconds before the main 105mm tandem warhead heat rocket, and the decoy will set off the aps, thus leaving a gap in the protection on the mbt or ifv, thus allowing the heat round to strike the vehicle in a now vulnerable spot.",group/enat,individual/eninfmedat,photo/rpg30,900,300,0
33,RPG-7,Rpg-7v is the standard (tier 4) squad antitank weapon in use by the opfor. It requires a well-trained gunner to estimate ranges and lead distances for moving targets. The rpg-7v has been used to shoot down helicopters in several conflicts.,group/enat,individual/eninfat,photo/rpg7,300,300,0
34,RPK,"The rpk-74 is the machinegun (squad level support) version of the ak-74, firing the same ammunition. Instead of the prominent muzzle brake used on the ak-74, the machinegun is longer than that normally used with the ak- 74, but the magazines are interchangeable. The rpk-74 has a bipod and is compatible with the front firing ports of bmps.",group/eninf,individual/enltmg,photo/rpk,800,5,0
35,RPO,"The rpo is a combat-tested, shoulder-fired reusable weapon that fires a rocket-propelled encapsulated napalm warhead. It was designed to replace the lpo-50. The rpo is carried in two parts that must be connected to fire. Squeezing the trigger ignites the rocket with an electric spark. Part of the propellant gas enters the container and pushes the canister, kindling the igniter, which in turn ignites the incendiary mixture. The napalm in the rpo ignites at the initial stage of the flight and upon impact burning pieces are scattered all over the target. Although still in use by the opfor flamethrower bn (encapsulated) at corps or army level (and other armies), the rpo has generally been replaced by the infantry rocket flame weapon rpo-a series (rpo-a/d/z).",group/eninf,individual/eninfat,photo/rpo,190,0,0
36,SKS,The sks is the predecessor to the russian ak-47. This reliable rifle is still found in large numbers throughout the world. It is the mainstay of the prc “peoples militia”.,group/eninf,individual/enrifle,photo/sks,350,6,0
37,SPG-9M,"The spg-9/9m is a recoilless, smooth-bore, single-shot antitank weapon that fires both anti-armor and antipersonnel ammunition. The spg-9m is equipped with night sights. Several generations of night vision equipment (ii and ir) are available for the spg-9m and the older spg-9. The gun is man-portable, but a truck or apc normally carries it. It must be dismounted and placed on its tripod for firing. Several variants have mounted wheels.",group/enat,individual/enrecoilless,photo/spg9m,1300,100,0
38,SVD,"The bolt mechanism and gas recovery system of the svd are similar to those of the ak and akm. The 7.62x54-mm rimmed cartridge of the svd is not interchangeable with the 7.62x39-mm rimless round of the ak-47/akm. The svd performs best when using target grade ammunition, however standard (pkm/pkt) 7.62x54-mm rimmed rounds may also be fired. Every opfor infantry squad has an svd equipped designated marksman (dm).",group/eninfsniper,individual/ensniper,photo/svd,1000,10,0
39,W-87,"The w-87 is significant in that it weighs a little more than a medium 7.62-mm gp mg (pkm 18.5 lbs/u.s. M60 mg 32 lbs). It is smaller and lighter than the ags-17 but still provides the infantryman with the ability to destroy lightly armored vehicles at 2 to 3 times the range of the majority of infantry light at systems. Ten 35-mm w-87 rounds weigh less than 100 linked 7.62 rounds. The 35-mm rounds are probably more effective against point targets at medium to long ranges than ball 7.62-mm. Other unit members can carry additional ammunition as needed, and can break down load into smaller increments for easier carry",group/eninf,individual/enmedagl,photo/w87,1500,80,0
40,Armbrust,"The armbrust is a preloaded, disposable, shoulder-fired antitank weapon. It has a low signature and low ir detectability and can be safely fired from small enclosures or rooms. The muzzle does not emit smoke or blast and no flash can be seen from the rear. Only .8 m clearance is required between the rear of the weapon and the wall. It is quieter than a pistol shot. The entire weapon is considered a round of ammunition and the launcher is thrown away once the weapon is fired. The system is also manufactured by singapore industries.",group/frat,individual/frinfat,photo/armbrust,400,300,0
41,AT4,"The at4 is a lightweight, preloaded, disposable anti-armor weapon intended for firing one round, after which the tube is discarded. All at4 systems share the same launcher but may contain different preloaded munitions. The variant selected depends on the intended use. The at4’s average recoil is comparable to the m16 rifle.",group/frat,individual/frinfat,photo/at4,300,600,0
42,Carl Gustaf,"The 84-mm carl gustaf recoilless rifle is a one-man portable, direct-fire, single-shot, breech-loading weapon. Several versions of the carl gustaf are produced outside sweden, however, the ammunition is interchangeable among the variants. While the weapon can be operated by one person it is better to have two—one to fire the gun, and the other to carry and load the ammunition. In addition to its antitank role, the weapon can be used as part of an illumination plan, to provide smoke, or for bunker busting.",group/frat,individual/frinfat,photo/carlgustaf,600,500,0
43,CIS 40 AGL,Originally developed by singapore cis for infantry support mounted on a tripod the cis 40agl is now available for mounting on vehicles and in turrets. The cis 40/50 is a 40-mm agl and .50 cal hmg together in a one-man cupola available on m113 series of vehicles. The cis 40agl is designed to fire all us 40-mm mk 19 mod 3 ammunition. All cis 40-mm ammunition is designed to us military specification. Weapons systems similar to the cis 40agl (less the abms) are manufactured all over the world. Cis licensed indonesian production as well.,group/frinf,individual/frhvyagl,photo/cis40agl,2200,60,0
44,Enfield,"The Lee-Enfield is a bolt-action, magazine-fed, repeating rifle that served as the main firearm used by the military forces of the British Empire and Commonwealth during the first half of the 20th century. It was the British Army's standard rifle from its official adoption in 1895 until 1957. It is often referred to as the ""SMLE,"" which is short for the common ""Short Magazine Lee-Enfield"" variant.",group/frinf,individual/frrifle,photo/enfield,500,8,0
45,Eryx,"The disposable canister/launch tube is attached to the reusable firing post (which includes sight systems). Eryx employs a recoil reductions system with reduced back-blast, which permits launch from inside of buildings. A rest such as a ledge or sandbag is required for launches beyond 350 meters. Signature reduction includes noise and smoke reduction. The original sopelem ob50 ii night sight had a range of 600 m.",group/frat,individual/frltatgm,photo/eryx,600,900,0
46,Javelin,"The FGM-148 Javelin is an American man-portable fire-and-forget anti-tank missile fielded to replace the M47 Dragon anti-tank missile in US service. It uses an automatic infrared guidance that allows the user to seek cover immediately after launch, as opposed to wired guided systems, like the Dragon, where the user has to actively guide the weapon throughout the engagement. The Javelin's HEAT warhead is capable of defeating modern tanks by attacking them from above, and is also useful against fortifications in a direct attack flight.",group/frat,individual/frmedatgm,photo/javelin,2000,900,0
47,M110,"The M110 Semi Automatic Sniper System (M110 SASS) is an American semi-automatic sniper rifle/designated marksman rifle that is chambered for the 7.62×51mm NATO round, developed by U.S. firearm manufacturer Knight's Armament Company.",group/frsniper,individual/frsniper,photo/m110,800,10,0
48,M119A1,"The M119 howitzer is the US designation for the L119 light gun, a lightweight British 105 mm howitzer also used by the United States Army. It can be easily airlifted by helicopter, or dropped by parachute. It does not need a recoil pit.",group/frtowedartillery,individual/frtowedmedhowitzer,photo/m119a1,30000,60,0
49,M120; 120mm,"The Soltam K6 is a 120 mm mortar that was developed by Soltam Systems of Israel. It is the long-range version of the Soltam K5 and has replaced older systems, such as the 107-millimetre (4.2 in) M30, in several armies including the United States Army. It is much lighter than the M30, has a greater range, and can sustain a rate of fire of four rounds per minute, while the M30 could sustain only three.",group/frmortar,individual/frhvymortar,photo/m120,7200,30,0
50,M2,"The M2 Machine Gun or Browning .50 Caliber Machine Gun is a heavy machine gun designed toward the end of World War I by John Browning. Its design is similar to Browning's earlier M1919 Browning machine gun, which was chambered for the .30-06 cartridge. The M2 uses the much larger and much more powerful .50 BMG cartridge, which was developed alongside and takes its name from the gun itself (BMG standing for Browning Machine Gun).",group/frinf,individual/frhvymg,photo/m2,1800,19,0
51,M224; 60mm,"The M224 60 mm Lightweight Mortar is a smooth bore, muzzle-loading, high-angle-of-fire weapon used for close-in support of ground troops.",group/frmortar,individual/frltmortar,photo/m224,3490,10,0
52,M24,"The M24 Sniper Weapon System (SWS) is the military and police version of the Remington Model 700 rifle, M24 being the model name assigned by the United States Army after adoption as their standard sniper rifle in 1988. The M24 is referred to as a ""weapon system"" because it consists of not only a rifle, but also a detachable telescopic sight and other accessories.",group/frsniper,individual/frsniper,photo/m24,800,10,0
53,M240,"The M240, officially the Machine Gun, 7.62 mm, M240, is the US military designation for the FN MAG, a family of belt-fed, gas-operated medium machine guns that chamber the 7.62×51mm NATO cartridge.",group/frinf,individual/frmedmg,photo/m240,1800,8,0
54,M249,"The M249 is gas operated and air-cooled. It has a quick-change barrel, allowing the gunner to rapidly replace an overheated or jammed barrel. A folding bipod is attached near the front of the gun, though an M192 LGM tripod is available. It can be fed from both linked ammunition and STANAG magazines, like those used in the M16 and M4. This allows the SAW gunner to use a rifleman's magazines as an emergency source of ammunition in the event that he runs out of linked rounds.",group/frinf,individual/frltmg,photo/m249,1000,5,0
55,M252; 81mm,"The M252 81 mm medium weight mortar is a British designed smooth bore, muzzle-loading, high-angle-of-fire weapon used for long-range indirect fire support to light infantry, air assault, and airborne units across the entire front of a battalion zone of influence. In the U.S. Army and U.S. Marine Corps, it is normally deployed in the mortar platoon of an infantry battalion.",group/frmortar,individual/frmedmortar,photo/m252,5600,20,0
56,M4,"The M4 carbine is a shorter and lighter variant of the M16A2 assault rifle. The M4 is a 5.56×45mm NATO, air-cooled, direct impingement gas-operated, magazine-fed carbine. It has a 14.5 in (370 mm) barrel and a telescoping stock.",group/frinf,individual/frrifle,photo/m4,550,5,0
57,M67,"The m67 90-mm recoilless rifle is a lightweight, portable, direct-fire only, crew-served antitank weapon. It is designed to be fired primarily from the ground using the bipod and monopod, but it may be fired from the shoulder. It is an air-cooled, breech-loaded, single-shot rifle that fires fixed ammunition. Although intended primarily for use as an antitank weapon, the m67 can be used against secondary targets such as gun emplacements and bunkers. It is also very effective in an anti-personnel role. Although no longer produced in the us, the m67 is still in production by south korea. The crew consists of a gunner, assistant gunner, and ammo bearer. The m67 can be operated with a crew of only two; however, the third crew member (ammo bearer) is considered necessary for efficient operations. In the absence of an individual to perform the duties assigned to the ammo bearer, the gunner (crew member 1) lays and fires the 90-mm rifle and is the crew leader. He carries the m67 and a pistol. The loader (crew member 2) is responsible for loading the rifle and acts as the gunner when required. He secures ammunition and checks the clearance of the back blast area prior to firing. He carries a pistol, spare parts, cleaning materiel, and 3 rounds of 90-mm. The ammunition bearer (crew member 3) is responsible for securing ammunition and providing security for the recoilless rifle position. He carries an assault rifle and 4 rounds of 90-mm. The m67 has been replaced by the carl gustav m2 and the at4 weapons systems.",group/frat,individual/frinfat,photo/m67,420,350,0
58,M777,"The M777 howitzer is a towed 155 mm artillery piece. It succeeded the M198 howitzer in the United States Marine Corps and United States Army in 2005. The M777 is also used by the ground forces of Australia, Canada, India and Saudi Arabia. It made its combat debut in the War in Afghanistan.",group/frtowedartillery,individual/frtowedhvyhowitzer,photo/m777,30000,90,0
59,M82A1A,"The m82a1a provides maneuver commanders with the tactical option of employing snipers with an anti-materiel weapon to augment present 7.62-mm anti-personnel sniper rifles. Recoil equals 7.62x51-mm levels. The usmc uses raufoss grade a ammunition, but the rifle is capable of firing any standard 12.7x99-mm browning machinegun ammunition.",group/frsniper,individual/frsniper,photo/m82a1a,1800,19,0
60,Milan 3,"Although the launcher is portable and has been laeled man-portable, it is too heavy for one-man carry with missile. A kit is available for retrofit to earlier milan launchers, to permit firing the milan 3 atgm using eoircm (jammer countermeasure).",group/frmechinf,individual/frmedatgm,photo/milan3,2000,880,0
61,Mk 19,"The Mk 19 grenade launcher (pronounced Mark 19) is an American 40 mm belt-fed automatic grenade launcher that was first developed during the Vietnam War. The first model (Mod 0) in 1966 was determined to be unreliable and unsafe, but a total of six Mod 1 launchers were successfully tested on U.S. Navy riverine patrol craft in the Mekong Delta in 1972. The Navy made further improvements to the weapon, resulting in the Mod 3 in 1976. The Mod 3 was adopted by the U.S Army in 1983 and remains in service to the present day.",group/frinf,individual/frhvyagl,photo/mk19,2250,60,0
62,Spike-LR,"Use an equal mix of -mr and -lr. Fog-m guidance fits the category beyond-line-of-sight (blos), because it can launch from cover and hit targets behind cover. Missile has a dive or top-attack maneuver for high armor penetration. Lofted flight path permits use against helicopters. The weight (26 kg) fits categorization portable, and is quite man-portable with a 2-3 man team",group/frat,individual/frhvyatgm,photo/spikelr,4000,800,0
63,Starstreak II,"Ground-based ad system optimized for use against armored helicopters and low flying fixed-wing aircraft. Missile emplys smokeless propellant for minimal dignature. Flight time (5-8 sec) and lbr guidance make it essentially immune to countermeasures. Because of the high velocity, the system exceeds the hit probability of cometing systems agaisnt high-speed aitcraft on receding flight paths. The startstreak's lower cost and capabilities as a mulit-role missile system offers varied uses. Two considerations are the semi-automoatic command line-of-sight (saclos) guidance and contact fuzes which make it less effective agaisnt agile fixed-wing aircraft from some aspects. Thus a more practical course wold be to replace 33-50% of the manpads. With the lower cost of starstreak and its multi-ole capability, it could replace a portion of the expensive single-role manpads with starstreaks, for instance, an 18-manpads battery could be reduced 35%.",group/frat,individual/frltatgm,photo/starstreakii,8000,120,0
64,TOW-2B,"The BGM-71 TOW (""Tube-launched, Optically tracked, Wire-guided"") is an American anti-tank missile. TOW replaced much smaller missiles like the SS.10 and ENTAC, offering roughly twice the effective range, a more powerful warhead, and a greatly improved semi-automatic guidance system that could also be equipped with infrared cameras for night time use.",group/frat,individual/frhvyatgm,photo/tow2b,4200,1100,0
65,MG3,The MG 3 is a German general-purpose machine gun chambered for the 7.62×51mm NATO cartridge. The weapon's design is derived from the World War II era MG 42 universal machine gun that fired the 7.92×57mm Mauser round.,group/frinf,individual/frmedmg,photo/mg3,1800,8,0
66,L7,"The FN MAG is a Belgian 7.62 mm general-purpose machine gun, designed in the early 1950s at Fabrique Nationale (FN) by Ernest Vervier. It has been used by more than 80 countries, and it has been made under licence in several countries, including Argentina, Canada (as the C6 GPMG), Egypt, India and the United Kingdom. The MAG Model 60-20 is an automatic, air-cooled, gas-operated machine gun, firing belt-fed 7.62×51mm NATO from an open bolt.",group/frinf,individual/frmedmg,photo/l7,1800,8,0
67,FN MAG,"The FN MAG is a Belgian 7.62 mm general-purpose machine gun, designed in the early 1950s at Fabrique Nationale (FN) by Ernest Vervier. It has been used by more than 80 countries, and it has been made under licence in several countries, including Argentina, Canada (as the C6 GPMG), Egypt, India and the United Kingdom. The MAG Model 60-20 is an automatic, air-cooled, gas-operated machine gun, firing belt-fed 7.62×51mm NATO from an open bolt.",group/frinf,individual/frmedmg,photo/fnmag,1800,8,0
68,AA-52,"The AA-5, also known as ""La Nana"", is one of the first French-produced guns of the post–World War II era. It was manufactured by the French government-owned Manufacture d'armes de Saint-Étienne (MAS) company. The AA-52 is still used today as a vehicle-mounted weapon due to large quantities in service, but has been replaced in the helicopter role by the Belgian FN MAG, starting with the EC 725 Caracal of the special operations units and the Air Force search and rescue teams. The AA-52 had been largely phased out for infantry use in favour of the lighter FN Minimi. The AA-52 is still in use in Afghanistan.",group/frinf,individual/frmedmg,photo/aa52,1800,8,0
69,Type 59T,,,,,1000,8,0
70,KPVT,"KPVT is used for armoured vehicle installations, boats, movable and stationary mounts and various antiaircraft mounts. It features a shorter receiver and a heavier barrel jacket. The KPVT also uses a 50-round belt instead of the original 40-round belt. KPVTs are the primary armament of the wheeled BTR-60PB/70/80 series armoured personnel carriers and BRDM-2 armoured reconnaissance vehicles. It is intended for fighting against light armoured targets, weapons systems and light shelters at the distances of up to 3000 m, as well as air targets at distances up to 2000 m.",group/eninf,individual/enhvymg,photo/kpvt,2000,20,0
71,NSVT,"On the t-72 and the t-80, it has a rotating mount and can be fired from within the tank. The tank commander employs the k10-t reflex sight to engage aircraft. On the t-72/t-80 mount he engages ground targets with metallic sights on the gun itself. The t-64 tank mounts a modified version with a fixed mount on the commander's cupola. It fires by means of an electrical solenoid when the tank is buttoned up and an optical sight inside the cupola is used. Instead of the normal 50-round ammunition belt container, the nsvt on the t-64 may use a larger belt container holding 200 rounds.",group/eninf,individual/enhvymg,photo/nsvt,2000,20,0
72,30mm auto-cannon,,,,,2000,55,0
73,100mm APFSDS-T,,,,,2500,418,0
74,100mm HE-Shrapnel,,,,,5200,50,0
75,105mm APFSDS-T,,,,,3000,460,0
76,105mm Rifled Gun,,,,,3000,460,0
77,115mm APFSDS-T,,,,,1800,520,0
78,120mm APFSDS-T,,,,,1000,600,0
79,120mm Mortar,,,,,12800,30,0
80,122mm HE Rockets,,,,,20380,550,0
81,122mm Howitzer,,,,,29000,460,0
82,125mm APFSDS-T,,,,,4000,630,0
83,152mm Howitzer,,,,,29000,460,0
84,20mm auto-cannon,,,,,2000,32,0
85,220mm Thermobaric Rockets,,,,,6000,0,0
86,240mm Mortar,,,,,9700,100,0
87,25mm auto-cannon,,,,,1500,40,0
88,300mm DPICM,,,,,90000,800,0
89,30mm auto-cannon,,,,,2000,55,0
90,73mm HEAT,,,,,1000,700,0
91,76mm APFSDS-T,,,,,1000,115,0
